Study_Hours,Exam_Score
-6.400647365,-6.546447488
-1.593795505,9.343037238
-3.038957827,9.527553561
-7.433276496,-8.077987486
-7.947247621,-7.022489078
-2.249314829,9.796109
-7.642886348,-8.684991694
-6.466192288,-5.003313781
4.164933525,1.319840451
-2.151410263,9.575070655
4.431756586,1.480168749
-1.718165676,8.104898673
-3.348415146,8.705073752
-2.267235351,7.101005884
-2.165579333,7.251245973
-2.258704773,9.360734338
6.793061294,1.205822121
-8.278194765,-6.317140357
5.326139027,0.360453813
-3.292450915,8.692224612
-3.317691226,8.512529085
-2.441669418,7.589537942
-2.522694848,7.956575199
4.838938532,1.372952807
-7.916873345,-7.070448271
2.926744307,3.327042058
-8.750419112,-7.231623077
3.633861455,0.758981071
5.15922535,3.505908597
4.863971318,1.985762085
-1.106403312,7.612435065
-6.303070228,-6.568859439
-6.547313179,-7.62859613
-7.007544783,-7.835650034
-6.265460491,-6.122601883
-3.186119623,9.625962417
-5.842087247,-7.390125992
-7.40988481,-7.672982426
-1.42614638,10.06808818
-4.427968838,8.987772253
-2.417436847,7.026717214
-4.234115456,8.451998599
-3.987719613,8.29444192
5.144866115,2.838924878
4.387310685,0.725386502
-7.149502126,-7.858873309
-2.504084166,8.779698995
-7.393494108,-7.939323115
-2.978672009,9.556846172
-2.754585739,8.260549964
-4.818879266,-5.124768751
-2.422150555,8.715278778
3.12050887,1.488935611
3.924575127,2.652767433
5.452740955,2.602798526
-2.232506824,9.841469377
5.917543732,1.381598295
-3.189222345,9.246539825
-3.417221699,7.601982427
-4.914902058,-6.844846041
4.920870704,1.350470164
-8.413741362,-5.602432771
-2.213077346,9.2753414
3.439582429,1.638668448
4.6213657,1.684511045
-7.410128339,-7.455927834
-6.241034732,-8.541629656
-3.393055059,9.168011234
-5.128942727,9.836188633
-7.755245445,-8.262909324
-5.328475216,-6.764434959
-5.678413269,-7.288184966
-2.450988905,7.87131583
-6.008502488,-7.206133125
4.168840531,2.205219621
-2.448967413,11.47752824
-1.987256057,9.311270801
-1.695680406,7.783421812
-1.366374809,9.766219161
-3.428621857,10.56422053
3.800156994,1.373777038
-2.955712575,9.870684923
3.658370185,2.435273158
4.66438901,2.471167975
5.512199473,2.15651169
-2.773854456,11.73445529
6.762035033,3.005634944
5.263998653,2.601515193
-6.793037404,-7.035786829
-3.053580348,9.125208718
-7.54225095,-6.309510925
6.27229014,0.543028306
5.210769347,3.108735324
-9.351271691,-7.677004849
4.964045189,1.84302663
-1.043548854,8.788509828
1.398611496,0.948782043
4.19983435,2.103910261
-6.942306288,-5.924967273
-5.251011646,-8.260211051
3.814381639,1.651783842
-8.486073511,-6.676645957
3.909512205,2.189628274
3.319645629,3.80462845
4.620862628,0.970640319
6.783822926,2.607088706
-3.483879293,9.801370732
-6.697760936,-6.631889007
-1.770731043,9.185654409
-2.624845905,8.713182433
3.817658441,2.216856895
4.050514079,2.822771781
-1.696671801,10.37052616
4.950786402,3.448525901
-7.865353237,-6.376063078
-7.526200075,-7.961657597
4.736874801,2.568326709
-2.147561598,8.369166374
-2.409546258,8.510810474
-7.844550652,-6.194058133
6.091022444,2.93244051
3.378994882,2.891031631
-6.831105563,-7.71105971
-5.377270139,-6.806014813
-6.246845325,-4.609416735
-6.302555064,-7.083154979
-3.746148334,7.693829515
-7.154678888,-9.182030758
-6.05022161,-9.091244902
2.515983112,1.447414662
-7.635977936,-8.302363303
-8.184096692,-6.210437044
-2.496195731,10.46782021
3.847358098,1.858433242
-7.323920451,-6.5028091
-5.192485556,-5.998469836
4.324609592,2.732138904
-2.586299332,9.355438103
-1.687137463,10.91107911
-5.953449644,-4.970692953
-2.85191214,8.212008859
-8.062885704,-8.919341771
4.685450676,1.321569336
5.321831808,1.662902927
-7.531463299,-6.832710922
4.618977242,2.090497067
-5.234659478,-7.129145633
-6.94570699,-8.091125793
-6.589852334,-4.804708795
4.962597397,1.14593874
5.79798971,2.764832378
-1.883530275,8.157128572
-5.356503114,-6.34119955
3.045451177,1.373794661
5.330022828,1.571949212
4.645122536,2.020150278
-6.619904689,-7.784426218
5.186976217,1.770977032
-6.508481318,-7.48409478
4.531118688,2.374881406
-7.472021115,-7.744100363
6.954537403,0.105904491
6.829681769,1.164871399
-6.552699817,-7.099210122
3.712948365,1.913644328
-3.837383672,9.211147364
-8.358213437,-5.73635555
-2.21612515,8.29993471
-2.732660408,9.728286622
-1.478198101,9.945566247
-6.802258884,-7.741393795
-4.059861054,9.082849103
5.465295185,2.78667932
3.978092371,2.825603019
-6.759331559,-6.365670759
4.709680921,1.587856087
5.387172441,2.583539949
-2.701558588,9.315833471
-0.929984808,9.781720857
4.737554935,1.2001599
4.16794697,3.062120281
5.154914103,2.486955635
-6.780294886,-6.12872247
-5.873334382,-7.457001463
-7.149034026,-6.162567337
-3.615532597,7.818079504
-0.623011722,9.188863941
-3.355991341,7.499438904
3.867053622,1.736351077
5.083698264,2.747803737
6.081152125,0.537307533
3.191794495,0.56570591
-6.541130784,-7.295397507
4.704158855,0.895424906
-6.234251242,-5.511478036
5.5938806,2.624560935
4.488093741,2.56148689
-6.495561742,-6.912804341
-2.185113654,8.629203848
4.189813365,2.596019616
5.803042588,1.983402745
-2.728869511,9.3713987
-7.118575238,-7.787673255
-3.6601912,9.389984147
3.810883825,1.412988644
-4.116680858,9.198919987
-6.861208812,-5.203672281
-6.010021271,-5.524471734
